#    f [Hz]                    Z [Ohm]
# ------------------------------------------------
 (5.712834058600796014e+07+0.000000000000000000e+00j)  (4.999139393185760838e+00+2.399860570885529043e+01j)
 (5.813059217523616552e+07+0.000000000000000000e+00j)  (5.071301875759096411e+00+2.437132003100659716e+01j)
 (5.913284376446437836e+07+0.000000000000000000e+00j)  (5.144221275350895795e+00+2.474260421439919710e+01j)
 (6.013509535369259119e+07+0.000000000000000000e+00j)  (5.215772121439578690e+00+2.511326716562723149e+01j)
 (6.113734694292079657e+07+0.000000000000000000e+00j)  (5.287700435994445058e+00+2.548473854186988774e+01j)
 (6.213959853214900941e+07+0.000000000000000000e+00j)  (5.360354591761178789e+00+2.585485213652156489e+01j)
 (6.314185012137721479e+07+0.000000000000000000e+00j)  (5.431724335829555272e+00+2.622441480504845757e+01j)
 (6.414410171060542762e+07+0.000000000000000000e+00j)  (5.503496729819671529e+00+2.659475701979615181e+01j)
 (6.514635329983364046e+07+0.000000000000000000e+00j)  (5.575964196879938051e+00+2.696380702885331715e+01j)
 (6.614860488906184584e+07+0.000000000000000000e+00j)  (5.647221768361045946e+00+2.733236989009944651e+01j)
 (6.715085647829005122e+07+0.000000000000000000e+00j)  (5.718902662932404901e+00+2.770168576699188279e+01j)
 (6.815310806751826406e+07+0.000000000000000000e+00j)  (5.791248417303927809e+00+2.806976959365629298e+01j)
 (6.915535965674647689e+07+0.000000000000000000e+00j)  (5.862450643763661873e+00+2.843742476451321366e+01j)
 (7.015761124597468972e+07+0.000000000000000000e+00j)  (5.934093077822078399e+00+2.880580886219155445e+01j)
 (7.115986283520290256e+07+0.000000000000000000e+00j)  (6.006370790497458145e+00+2.917301681266499003e+01j)
 (7.216211442443110049e+07+0.000000000000000000e+00j)  (6.077564489699195605e+00+2.953985047114111495e+01j)
 (7.316436601365931332e+07+0.000000000000000000e+00j)  (6.149212342692031541e+00+2.990739148422874294e+01j)
 (7.416661760288752615e+07+0.000000000000000000e+00j)  (6.221466815775222869e+00+3.027380872728711481e+01j)
 (7.516886919211573899e+07+0.000000000000000000e+00j)  (6.292690997820620247e+00+3.063990252173785578e+01j)
 (7.617112078134395182e+07+0.000000000000000000e+00j)  (6.364380791433273288e+00+3.100668448406452171e+01j)
 (7.717337237057214975e+07+0.000000000000000000e+00j)  (6.436649472982646003e+00+3.137239224459344555e+01j)
 (7.817562395980036259e+07+0.000000000000000000e+00j)  (6.507936716726132609e+00+3.173782462527807979e+01j)
 (7.917787554902857542e+07+0.000000000000000000e+00j)  (6.579699187773860203e+00+3.210392832703021071e+01j)
 (8.018012713825678825e+07+0.000000000000000000e+00j)  (6.652013983113933548e+00+3.246900497184140733e+01j)
 (8.118237872748500109e+07+0.000000000000000000e+00j)  (6.723392086860006778e+00+3.283385181972512612e+01j)
 (8.218463031671319902e+07+0.000000000000000000e+00j)  (6.795253483810726358e+00+3.319935525757614414e+01j)
 (8.318688190594141185e+07+0.000000000000000000e+00j)  (6.867641779092223508e+00+3.356387677710169726e+01j)
 (8.418913349516962469e+07+0.000000000000000000e+00j)  (6.939134671641399521e+00+3.392821202867019537e+01j)
 (8.519138508439783752e+07+0.000000000000000000e+00j)  (7.011117781796778914e+00+3.429319108357130830e+01j)
 (8.619363667362605035e+07+0.000000000000000000e+00j)  (7.083603531662305386e+00+3.465723155243266973e+01j)
 (8.719588826285424829e+07+0.000000000000000000e+00j)  (7.155232143330441552e+00+3.502112750304831934e+01j)
 (8.819813985208246112e+07+0.000000000000000000e+00j)  (7.227357015885740310e+00+3.538565635691448819e+01j)
 (8.920039144131067395e+07+0.000000000000000000e+00j)  (7.299961568623746899e+00+3.574928840484817982e+01j)
 (9.020264303053888679e+07+0.000000000000000000e+00j)  (7.371744733229540714e+00+3.611281601250169615e+01j)
 (9.120489461976709962e+07+0.000000000000000000e+00j)  (7.444029468177650877e+00+3.647696724515239453e+01j)
 (9.220714620899529755e+07+0.000000000000000000e+00j)  (7.516772111152504543e+00+3.684026209021942577e+01j)
 (9.320939779822351038e+07+0.000000000000000000e+00j)  (7.588726937922332105e+00+3.720349115701297649e+01j)
 (9.421164938745172322e+07+0.000000000000000000e+00j)  (7.661188127669994685e+00+3.756733608681582837e+01j)
 (9.521390097667993605e+07+0.000000000000000000e+00j)  (7.734086662732501338e+00+3.793036382068338952e+01j)
 (9.621615256590813398e+07+0.000000000000000000e+00j)  (7.806229096891012631e+00+3.829336315092375997e+01j)
 (9.721840415513634682e+07+0.000000000000000000e+00j)  (7.878882330374843868e+00+3.865697193999862691e+01j)
 (9.822065574436455965e+07+0.000000000000000000e+00j)  (7.951953535411668383e+00+3.901980157220857137e+01j)
 (9.922290733359277248e+07+0.000000000000000000e+00j)  (8.024298723243406428e+00+3.938263897271534830e+01j)
 (1.002251589228209853e+08+0.000000000000000000e+00j)  (8.097158873801310719e+00+3.974608065384827427e+01j)
 (1.012274105120491832e+08+0.000000000000000000e+00j)  (8.170418762978240323e+00+4.010878014947176240e+01j)
 (1.022296621012773961e+08+0.000000000000000000e+00j)  (8.242981255282380459e+00+4.047152246342255921e+01j)
 (1.032319136905056089e+08+0.000000000000000000e+00j)  (8.316062625409422537e+00+4.083486502356702630e+01j)
 (1.042341652797338217e+08+0.000000000000000000e+00j)  (8.389526595715304680e+00+4.119750146083482178e+01j)
 (1.052364168689620346e+08+0.000000000000000000e+00j)  (8.462320558414312188e+00+4.156021476749018007e+01j)
 (1.062386684581902325e+08+0.000000000000000000e+00j)  (8.535637175956503953e+00+4.192352530321164750e+01j)
 (1.072409200474184453e+08+0.000000000000000000e+00j)  (8.609320306123338540e+00+4.228616491230101104e+01j)
 (1.082431716366466582e+08+0.000000000000000000e+00j)  (8.682359726602902228e+00+4.264891450647004234e+01j)
 (1.092454232258748710e+08+0.000000000000000000e+00j)  (8.755925486765837817e+00+4.301225922388442768e+01j)
 (1.102476748151030838e+08+0.000000000000000000e+00j)  (8.829842650633604961e+00+4.337496739030363102e+01j)
 (1.112499264043312818e+08+0.000000000000000000e+00j)  (8.903141388517058274e+00+4.373781779790427748e+01j)
