#    f [Hz]                    Charge distribution spectrum [C/s]
# ------------------------------------------------
 (5.712834058600796014e+07+0.000000000000000000e+00j)  (1.548713576901295185e+08-2.541872056801118553e+08j)
 (5.813059217523616552e+07+0.000000000000000000e+00j)  (1.502439282075210214e+08-2.568620070522928536e+08j)
 (5.913284376446437836e+07+0.000000000000000000e+00j)  (1.455697580702467859e+08-2.594514821483730078e+08j)
 (6.013509535369259119e+07+0.000000000000000000e+00j)  (1.408504400941196680e+08-2.619548051814875603e+08j)
 (6.113734694292079657e+07+0.000000000000000000e+00j)  (1.360875818353224099e+08-2.643711804524518847e+08j)
 (6.213959853214900941e+07+0.000000000000000000e+00j)  (1.312828050155393928e+08-2.666998426154166758e+08j)
 (6.314185012137721479e+07+0.000000000000000000e+00j)  (1.264377449422577173e+08-2.689400569324178100e+08j)
 (6.414410171060542762e+07+0.000000000000000000e+00j)  (1.215540499244550020e+08-2.710911195167329907e+08j)
 (6.514635329983364046e+07+0.000000000000000000e+00j)  (1.166333806838910431e+08-2.731523575649587512e+08j)
 (6.614860488906184584e+07+0.000000000000000000e+00j)  (1.116774097622252107e+08-2.751231295777305961e+08j)
 (6.715085647829005122e+07+0.000000000000000000e+00j)  (1.066878209241791368e+08-2.770028255690084100e+08j)
 (6.815310806751826406e+07+0.000000000000000000e+00j)  (1.016663085569690168e+08-2.787908672638571858e+08j)
 (6.915535965674647689e+07+0.000000000000000000e+00j)  (9.661457706623089314e+07-2.804867082846556306e+08j)
 (7.015761124597468972e+07+0.000000000000000000e+00j)  (9.153434026866476238e+07-2.820898343256701231e+08j)
 (7.115986283520290256e+07+0.000000000000000000e+00j)  (8.642732078162340820e+07-2.835997633159358501e+08j)
 (7.216211442443110049e+07+0.000000000000000000e+00j)  (8.129524940987403691e+07-2.850160455703930259e+08j)
 (7.316436601365931332e+07+0.000000000000000000e+00j)  (7.613986452976092696e+07-2.863382639292263985e+08j)
 (7.416661760288752615e+07+0.000000000000000000e+00j)  (7.096291147099819779e+07-2.875660338853654861e+08j)
