#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (5.612608899677974731e+07+0.000000000000000000e+00j)  (-1.213397555684433193e+01-6.174974375445766128e+01j)
 (5.712834058600796014e+07+0.000000000000000000e+00j)  (-1.133929308291754090e+01-6.254485221974234577e+01j)
 (5.813059217523616552e+07+0.000000000000000000e+00j)  (-1.232886825657272212e+01-6.269702151481816088e+01j)
 (5.913284376446437836e+07+0.000000000000000000e+00j)  (-1.189198609715920441e+01-6.165867906831571332e+01j)
 (6.013509535369259119e+07+0.000000000000000000e+00j)  (-1.115880786691048243e+01-6.242570816988287419e+01j)
 (6.113734694292079657e+07+0.000000000000000000e+00j)  (-1.210995932716408241e+01-6.255009020458771829e+01j)
 (6.213959853214900941e+07+0.000000000000000000e+00j)  (-1.168253242296463768e+01-6.156715278676956871e+01j)
 (6.314185012137721479e+07+0.000000000000000000e+00j)  (-1.100463012793015771e+01-6.230865129171026950e+01j)
 (6.414410171060542762e+07+0.000000000000000000e+00j)  (-1.192019208121986118e+01-6.240791831119117461e+01j)
 (6.514635329983364046e+07+0.000000000000000000e+00j)  (-1.150099374279107067e+01-6.147559193481367146e+01j)
 (6.614860488906184584e+07+0.000000000000000000e+00j)  (-1.087304849965330966e+01-6.219373366968197558e+01j)
 (6.715085647829005122e+07+0.000000000000000000e+00j)  (-1.175552900997778671e+01-6.227018264405759851e+01j)
 (6.815310806751826406e+07+0.000000000000000000e+00j)  (-1.134355835781995303e+01-6.138429974077201479e+01j)
 (6.915535965674647689e+07+0.000000000000000000e+00j)  (-1.076101330388023847e+01-6.208095346067435827e+01j)
 (7.015761124597468972e+07+0.000000000000000000e+00j)  (-1.161264934140342397e+01-6.213655534282055726e+01j)
 (7.115986283520290256e+07+0.000000000000000000e+00j)  (-1.120706973245378890e+01-6.129345357580081100e+01j)
 (7.216211442443110049e+07+0.000000000000000000e+00j)  (-1.066596988170993576e+01-6.197023988866112632e+01j)
 (7.316436601365931332e+07+0.000000000000000000e+00j)  (-1.148875533172731700e+01-6.200671670097200661e+01j)
 (7.416661760288752615e+07+0.000000000000000000e+00j)  (-1.108887242052700906e+01-6.120317249209626453e+01j)
 (7.516886919211573899e+07+0.000000000000000000e+00j)  (-1.058577395705790813e+01-6.186149907645742019e+01j)
 (7.617112078134395182e+07+0.000000000000000000e+00j)  (-1.138148751783200296e+01-6.188035124816062194e+01j)
 (7.717337237057214975e+07+0.000000000000000000e+00j)  (-1.098670396502661539e+01-6.111351124650251876e+01j)
 (7.817562395980036259e+07+0.000000000000000000e+00j)  (-1.051857846849294553e+01-6.175462221900109938e+01j)
 (7.917787554902857542e+07+0.000000000000000000e+00j)  (-1.128881625925997056e+01-6.175718044425468634e+01j)
 (8.018012713825678825e+07+0.000000000000000000e+00j)  (-1.089862415406470575e+01-6.102451214669822122e+01j)
 (8.118237872748500109e+07+0.000000000000000000e+00j)  (-1.046279864149159522e+01-6.164951135395448745e+01j)
 (8.218463031671319902e+07+0.000000000000000000e+00j)  (-1.120899880173170970e+01-6.163696240811859894e+01j)
 (8.318688190594141185e+07+0.000000000000000000e+00j)  (-1.082296662622106354e+01-6.093621034897235944e+01j)
 (8.418913349516962469e+07+0.000000000000000000e+00j)  (-1.041707538397447408e+01-6.154608172322736692e+01j)
 (8.519138508439783752e+07+0.000000000000000000e+00j)  (-1.114054306037968267e+01-6.151948407637051730e+01j)
 (8.619363667362605035e+07+0.000000000000000000e+00j)  (-1.075830239635841146e+01-6.084862169184168579e+01j)
 (8.719588826285424829e+07+0.000000000000000000e+00j)  (-1.038023264379479826e+01-6.144423793830446101e+01j)
 (8.819813985208246112e+07+0.000000000000000000e+00j)  (-1.108214057082037840e+01-6.140454164016080796e+01j)
 (8.920039144131067395e+07+0.000000000000000000e+00j)  (-1.070336518818164606e+01-6.076175573581685541e+01j)
 (9.020264303053888679e+07+0.000000000000000000e+00j)  (-1.035122650847788961e+01-6.134391323556729247e+01j)
 (9.120489461976709962e+07+0.000000000000000000e+00j)  (-1.103265012804797784e+01-6.129198337343196812e+01j)
 (9.220714620899529755e+07+0.000000000000000000e+00j)  (-1.065706711527238681e+01-6.067563654993728761e+01j)
 (9.320939779822351038e+07+0.000000000000000000e+00j)  (-1.032916336258693768e+01-6.124504623099352330e+01j)
 (9.421164938745172322e+07+0.000000000000000000e+00j)  (-1.099107826005042909e+01-6.118166248352869729e+01j)
 (9.521390097667993605e+07+0.000000000000000000e+00j)  (-1.061844372355925969e+01-6.059027567371627754e+01j)
 (9.621615256590813398e+07+0.000000000000000000e+00j)  (-1.031324197663072439e+01-6.114758944386845485e+01j)
 (9.721840415513634682e+07+0.000000000000000000e+00j)  (-1.095654400494891512e+01-6.107347032358231331e+01j)
 (9.822065574436455965e+07+0.000000000000000000e+00j)  (-1.058665368735192835e+01-6.050570510660131873e+01j)
 (9.922290733359277248e+07+0.000000000000000000e+00j)  (-1.030277363664174040e+01-6.105151382097814405e+01j)
 (1.002251589228209853e+08+0.000000000000000000e+00j)  (-1.092828784619908511e+01-6.096731227707856249e+01j)
 (1.012274105120491832e+08+0.000000000000000000e+00j)  (-1.056096488513008147e+01-6.042194710736536223e+01j)
 (1.022296621012773961e+08+0.000000000000000000e+00j)  (-1.029715237740192357e+01-6.095678718446735900e+01j)
 (1.032319136905056089e+08+0.000000000000000000e+00j)  (-1.090563553589220547e+01-6.086310149030116889e+01j)
 (1.042341652797338217e+08+0.000000000000000000e+00j)  (-1.054072441164820972e+01-6.033902251231570801e+01j)
 (1.052364168689620346e+08+0.000000000000000000e+00j)  (-1.029583645850103402e+01-6.086338666431264954e+01j)
 (1.062386684581902325e+08+0.000000000000000000e+00j)  (-1.088798657730400876e+01-6.076077027148669885e+01j)
 (1.072409200474184453e+08+0.000000000000000000e+00j)  (-1.052535375813764240e+01-6.025696090596120058e+01j)
 (1.082431716366466582e+08+0.000000000000000000e+00j)  (-1.029834924805035001e+01-6.077130301112082833e+01j)
 (1.092454232258748710e+08+0.000000000000000000e+00j)  (-1.087481515387944242e+01-6.066026806283723261e+01j)
 (1.102476748151030838e+08+0.000000000000000000e+00j)  (-1.051434904560794159e+01-6.017579474352920954e+01j)
 (1.112499264043312818e+08+0.000000000000000000e+00j)  (-1.030427711108908895e+01-6.068052881205780835e+01j)
 (1.122521779935594946e+08+0.000000000000000000e+00j)  (-1.086565921618014663e+01-6.056154688233873884e+01j)
 (1.132544295827877074e+08+0.000000000000000000e+00j)  (-1.050726210967629903e+01-6.009555126632110955e+01j)
 (1.142566811720159203e+08+0.000000000000000000e+00j)  (-1.031325069769041036e+01-6.059106064621801835e+01j)
 (1.152589327612441331e+08+0.000000000000000000e+00j)  (-1.086011000671667937e+01-6.046457032264412135e+01j)
 (1.162611843504723310e+08+0.000000000000000000e+00j)  (-1.050370179457171815e+01-6.001625815395762231e+01j)
 (1.172634359397005439e+08+0.000000000000000000e+00j)  (-1.032494857855123271e+01-6.050289071684800746e+01j)
 (1.182656875289287567e+08+0.000000000000000000e+00j)  (-1.085780168859053063e+01-6.036929657148384365e+01j)
