#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (5.612608899677974731e+07+0.000000000000000000e+00j)  (-1.059913044660959969e+01-6.933684387224084844e+01j)
 (5.712834058600796014e+07+0.000000000000000000e+00j)  (-1.231843083201726330e+01-6.715181213076375855e+01j)
 (5.813059217523616552e+07+0.000000000000000000e+00j)  (-9.784867425449693457e+00-6.640027201142630986e+01j)
 (5.913284376446437836e+07+0.000000000000000000e+00j)  (-1.057250301513546020e+01-6.855751258858910546e+01j)
 (6.013509535369259119e+07+0.000000000000000000e+00j)  (-1.216818308923196845e+01-6.646498800517116479e+01j)
 (6.113734694292079657e+07+0.000000000000000000e+00j)  (-9.748448529363761494e+00-6.581385869619106188e+01j)
 (6.213959853214900941e+07+0.000000000000000000e+00j)  (-1.054313618306535361e+01-6.786644491277647262e+01j)
 (6.314185012137721479e+07+0.000000000000000000e+00j)  (-1.202746990174012964e+01-6.585626736055273511e+01j)
 (6.414410171060542762e+07+0.000000000000000000e+00j)  (-9.712334449633475586e+00-6.529397851233677841e+01j)
 (6.514635329983364046e+07+0.000000000000000000e+00j)  (-1.051349140112775693e+01-6.724914129527422801e+01j)
 (6.614860488906184584e+07+0.000000000000000000e+00j)  (-1.189687610127474748e+01-6.531283132482408860e+01j)
 (6.715085647829005122e+07+0.000000000000000000e+00j)  (-9.678181671963594468e+00-6.482969423423558908e+01j)
 (6.815310806751826406e+07+0.000000000000000000e+00j)  (-1.048519050357922922e+01-6.669396246580679133e+01j)
 (6.915535965674647689e+07+0.000000000000000000e+00j)  (-1.177650733959586482e+01-6.482436385078129604e+01j)
 (7.015761124597468972e+07+0.000000000000000000e+00j)  (-9.647004043362315429e+00-6.441219030888144914e+01j)
 (7.115986283520290256e+07+0.000000000000000000e+00j)  (-1.045923236173593907e+01-6.619147845306065392e+01j)
 (7.216211442443110049e+07+0.000000000000000000e+00j)  (-1.166613489426414496e+01-6.438251798743735321e+01j)
 (7.316436601365931332e+07+0.000000000000000000e+00j)  (-9.619372858835999907e+00-6.403433926728428105e+01j)
 (7.416661760288752615e+07+0.000000000000000000e+00j)  (-1.043620685079538823e+01-6.573401154329089024e+01j)
 (7.516886919211573899e+07+0.000000000000000000e+00j)  (-1.156534785106164520e+01-6.398049148639957195e+01j)
 (7.617112078134395182e+07+0.000000000000000000e+00j)  (-9.595573126821930643e+00-6.369032871056241873e+01j)
 (7.717337237057214975e+07+0.000000000000000000e+00j)  (-1.041643078179458115e+01-6.531525696882033571e+01j)
 (7.817562395980036259e+07+0.000000000000000000e+00j)  (-1.147363786290156007e+01-6.361269367871649649e+01j)
 (7.917787554902857542e+07+0.000000000000000000e+00j)  (-9.575701064072555724e+00-6.337537398538410827e+01j)
 (8.018012713825678825e+07+0.000000000000000000e+00j)  (-1.040003071371339871e+01-6.492998657323450118e+01j)
 (8.118237872748500109e+07+0.000000000000000000e+00j)  (-1.139043441852708050e+01-6.327448880320059033e+01j)
 (8.218463031671319902e+07+0.000000000000000000e+00j)  (-9.559708727041901000e+00-6.308551308093680632e+01j)
 (8.318688190594141185e+07+0.000000000000000000e+00j)  (-1.038699216459211172e+01-6.457385106222621118e+01j)
 (8.418913349516962469e+07+0.000000000000000000e+00j)  (-1.131514170174415845e+01-6.296202752521207913e+01j)
 (8.519138508439783752e+07+0.000000000000000000e+00j)  (-9.547465596933257359e+00-6.281745900209487843e+01j)
 (8.619363667362605035e+07+0.000000000000000000e+00j)  (-1.037722350671770499e+01-6.424321223176052342e+01j)
 (8.719588826285424829e+07+0.000000000000000000e+00j)  (-1.124717408571648747e+01-6.267208582632087399e+01j)
 (8.819813985208246112e+07+0.000000000000000000e+00j)  (-9.538790436965481234e+00-6.256845794777971292e+01j)
 (8.920039144131067395e+07+0.000000000000000000e+00j)  (-1.037057823516721555e+01-6.393500347126264671e+01j)
 (9.020264303053888679e+07+0.000000000000000000e+00j)  (-1.118596305739797891e+01-6.240194862840739631e+01j)
 (9.120489461976709962e+07+0.000000000000000000e+00j)  (-9.533471096771279463e+00-6.233619119367857309e+01j)
 (9.220714620899529755e+07+0.000000000000000000e+00j)  (-1.036687415918145128e+01-6.364662362177204358e+01j)
 (9.320939779822351038e+07+0.000000000000000000e+00j)  (-1.113095729280071389e+01-6.214931586629389670e+01j)
 (9.421164938745172322e+07+0.000000000000000000e+00j)  (-9.531267624448606313e+00-6.211870443804391329e+01j)
 (9.521390097667993605e+07+0.000000000000000000e+00j)  (-1.036590536674250984e+01-6.337587464781179847e+01j)
 (9.621615256590813398e+07+0.000000000000000000e+00j)  (-1.108164400210785061e+01-6.191224872293430082e+01j)
 (9.721840415513634682e+07+0.000000000000000000e+00j)  (-9.531952057251992017e+00-6.191434543583820016e+01j)
 (9.822065574436455965e+07+0.000000000000000000e+00j)  (-1.036747321033034375e+01-6.312087225179426753e+01j)
 (9.922290733359277248e+07+0.000000000000000000e+00j)  (-1.103754681911296487e+01-6.168908036217223412e+01j)
 (1.002251589228209853e+08+0.000000000000000000e+00j)  (-9.535290753207265269e+00-6.172169859632903410e+01j)
 (1.012274105120491832e+08+0.000000000000000000e+00j)  (-1.037136881743037975e+01-6.288000170942702738e+01j)
 (1.022296621012773961e+08+0.000000000000000000e+00j)  (-1.099821955178358124e+01-6.147839091818637058e+01j)
 (1.032319136905056089e+08+0.000000000000000000e+00j)  (-9.541061290511864357e+00-6.153956126996980203e+01j)
 (1.042341652797338217e+08+0.000000000000000000e+00j)  (-1.037739655366820379e+01-6.265187542632895656e+01j)
 (1.052364168689620346e+08+0.000000000000000000e+00j)  (-1.096325680643897016e+01-6.127895676002266612e+01j)
 (1.062386684581902325e+08+0.000000000000000000e+00j)  (-9.549053744133129129e+00-6.136689651960035263e+01j)
 (1.072409200474184453e+08+0.000000000000000000e+00j)  (-1.038536725308541442e+01-6.243529097405137662e+01j)
 (1.082431716366466582e+08+0.000000000000000000e+00j)  (-1.093228348156751650e+01-6.108972188376195334e+01j)
 (1.092454232258748710e+08+0.000000000000000000e+00j)  (-9.559069777015615443e+00-6.120281365314565392e+01j)
 (1.102476748151030838e+08+0.000000000000000000e+00j)  (-1.039510424477172634e+01-6.222920773877770984e+01j)
 (1.112499264043312818e+08+0.000000000000000000e+00j)  (-1.090495958470182636e+01-6.090977194788747795e+01j)
 (1.122521779935594946e+08+0.000000000000000000e+00j)  (-9.570926990260936407e+00-6.104654102990868125e+01j)
 (1.132544295827877074e+08+0.000000000000000000e+00j)  (-1.040644251467200654e+01-6.203271783790678739e+01j)
 (1.142566811720159203e+08+0.000000000000000000e+00j)  (-1.088097363881305490e+01-6.073831207443497249e+01j)
 (1.152589327612441331e+08+0.000000000000000000e+00j)  (-9.584456683928708642e+00-6.089741127480462524e+01j)
 (1.162611843504723310e+08+0.000000000000000000e+00j)  (-1.041923141954675280e+01-6.184503026307562124e+01j)
 (1.172634359397005439e+08+0.000000000000000000e+00j)  (-1.086004589373764162e+01-6.057464945899835129e+01j)
 (1.182656875289287567e+08+0.000000000000000000e+00j)  (-9.599507722116822350e+00-6.075484182510538744e+01j)
 (1.192679391181569695e+08+0.000000000000000000e+00j)  (-1.043333441169349562e+01-6.166544821883893235e+01j)
 (1.202701907073851824e+08+0.000000000000000000e+00j)  (-1.084192174541371045e+01-6.041817455591817065e+01j)
 (1.212724422966133803e+08+0.000000000000000000e+00j)  (-9.615940313385054949e+00-6.061832273917575975e+01j)
 (1.222746938858415931e+08+0.000000000000000000e+00j)  (-1.044862561549471813e+01-6.149335968770838434e+01j)
 (1.232769454750698060e+08+0.000000000000000000e+00j)  (-1.082637117474717314e+01-6.026835354496258645e+01j)
 (1.242791970642980188e+08+0.000000000000000000e+00j)  (-9.633629752171527727e+00-6.048740768521540190e+01j)
 (1.252814486535262316e+08+0.000000000000000000e+00j)  (-1.046499294562118187e+01-6.132822368259827073e+01j)
 (1.262837002427544296e+08+0.000000000000000000e+00j)  (-1.081318761701227515e+01-6.012471454685601202e+01j)
 (1.272859518319826424e+08+0.000000000000000000e+00j)  (-9.652464454151516549e+00-6.036170256993892735e+01j)
