#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (1.120032310078121573e+08+0.000000000000000000e+00j)  (1.384845837003782520e+01+1.693477038652715905e+01j)
 (1.140032887043802291e+08+0.000000000000000000e+00j)  (1.497328396219961499e+00+1.702236707572001295e+00j)
 (1.160033464009483010e+08+0.000000000000000000e+00j)  (-1.702422907125696128e+01+8.904594095579899005e+00j)
 (1.180034040975163728e+08+0.000000000000000000e+00j)  (-1.610858776029177974e+01+2.918120656971636961e+01j)
 (1.200034617940844446e+08+0.000000000000000000e+00j)  (3.508466287603484002e+00+3.507862007258989223e+01j)
 (1.220035194906525314e+08+0.000000000000000000e+00j)  (1.536083670246520150e+01+1.850653870444696736e+01j)
 (1.240035771872206032e+08+0.000000000000000000e+00j)  (3.238365142354040938e+00+2.173108909744427386e+00j)
 (1.260036348837886751e+08+0.000000000000000000e+00j)  (-1.633366453561409415e+01+8.853619396601413172e+00j)
 (1.280036925803567469e+08+0.000000000000000000e+00j)  (-1.627235002661089425e+01+3.003075908316340303e+01j)
 (1.300037502769248188e+08+0.000000000000000000e+00j)  (3.941558190816218943e+00+3.705292746307269880e+01j)
 (1.320038079734928906e+08+0.000000000000000000e+00j)  (1.703497076208623895e+01+2.024864679510487875e+01j)
 (1.340038656700609624e+08+0.000000000000000000e+00j)  (5.007618275387736517e+00+2.652697855403351124e+00j)
 (1.360039233666290343e+08+0.000000000000000000e+00j)  (-1.582430867495782678e+01+8.897064437823978267e+00j)
 (1.380039810631971061e+08+0.000000000000000000e+00j)  (-1.661257167183473982e+01+3.122308938086096930e+01j)
 (1.400040387597651780e+08+0.000000000000000000e+00j)  (4.437891195871824124e+00+3.946640831463727750e+01j)
 (1.420040964563332796e+08+0.000000000000000000e+00j)  (1.894483574603445319e+01+2.224188222453584274e+01j)
 (1.440041541529013515e+08+0.000000000000000000e+00j)  (6.879897101504441892e+00+3.162193182500005584e+00j)
 (1.460042118494694233e+08+0.000000000000000000e+00j)  (-1.548530329552062490e+01+9.040365533998089731e+00j)
 (1.480042695460374951e+08+0.000000000000000000e+00j)  (-1.715762827005050184e+01+3.282736372427802252e+01j)
 (1.500043272426055670e+08+0.000000000000000000e+00j)  (5.017915546062178933e+00+4.245159525759293473e+01j)
 (1.520043849391736388e+08+0.000000000000000000e+00j)  (2.118611999513180066e+01+2.459295452493272549e+01j)
 (1.540044426357417107e+08+0.000000000000000000e+00j)  (8.943005759052057968e+00+3.728548269240229196e+00j)
 (1.560045003323097825e+08+0.000000000000000000e+00j)  (-1.531812992425464337e+01+9.299596381177799742e+00j)
 (1.580045580288778543e+08+0.000000000000000000e+00j)  (-1.795356574683214035e+01+3.495461266209029816e+01j)
 (1.600046157254459262e+08+0.000000000000000000e+00j)  (5.713644230905564392e+00+4.620274555361504554e+01j)
 (1.620046734220139980e+08+0.000000000000000000e+00j)  (2.389550817829648821e+01+2.744990925573473461e+01j)
 (1.640047311185820699e+08+0.000000000000000000e+00j)  (1.131244760216572409e+01+4.385142856639821396e+00j)
 (1.660047888151501417e+08+0.000000000000000000e+00j)  (-1.534119867124470282e+01+9.702497426830239746e+00j)
 (1.680048465117182434e+08+0.000000000000000000e+00j)  (-1.907763312662993727e+01+3.778093549923797667e+01j)
 (1.700049042082863152e+08+0.000000000000000000e+00j)  (6.572770595413229167e+00+5.101880319968203281e+01j)
 (1.720049619048543870e+08+0.000000000000000000e+00j)  (2.727922172627349084e+01+3.103656522516660843e+01j)
 (1.740050196014224589e+08+0.000000000000000000e+00j)  (1.415676827868465537e+01+5.181300170057680177e+00j)
 (1.760050772979905307e+08+0.000000000000000000e+00j)  (-1.559469019440748561e+01+1.029741163842700935e+01j)
 (1.780051349945586026e+08+0.000000000000000000e+00j)  (-2.065653928177788856e+01+4.159364317904174158e+01j)
 (1.800051926911266744e+08+0.000000000000000000e+00j)  (7.673341105474639434e+00+5.738205737992367972e+01j)
 (1.820052503876947463e+08+0.000000000000000000e+00j)  (3.167102787334778569e+01+3.571209405397005554e+01j)
 (1.840053080842628181e+08+0.000000000000000000e+00j)  (1.774513434206431484e+01+6.193932709540855619e+00j)
 (1.860053657808308899e+08+0.000000000000000000e+00j)  (-1.615560184872801486e+01+1.116687303432735412e+01j)
 (1.880054234773989618e+08+0.000000000000000000e+00j)  (-2.290955427047024529e+01+4.688390854248953588e+01j)
 (1.900054811739670336e+08+0.000000000000000000e+00j)  (9.148623647854410734e+00+6.612188025361264465e+01j)
 (1.920055388705351353e+08+0.000000000000000000e+00j)  (3.764940769435895618e+01+4.209930308125431253e+01j)
 (1.940055965671032071e+08+0.000000000000000000e+00j)  (2.254505128567359407e+01+7.557681991288475842e+00j)
 (1.960056542636712790e+08+0.000000000000000000e+00j)  (-1.717314607348539823e+01+1.246568022920258656e+01j)
