#    f [Hz]                    Charge distribution spectrum [C/s]
# ------------------------------------------------
 (1.140032887043802291e+08+0.000000000000000000e+00j)  (1.554529109708114564e+08-2.538430477226450741e+08j)
 (1.160033464009483010e+08+0.000000000000000000e+00j)  (1.508418043227869868e+08-2.565227131812634766e+08j)
 (1.180034040975163728e+08+0.000000000000000000e+00j)  (1.461839612218720913e+08-2.591175383074965775e+08j)
 (1.200034617940844446e+08+0.000000000000000000e+00j)  (1.414809619690028131e+08-2.616266989386118352e+08j)
 (1.220035194906525314e+08+0.000000000000000000e+00j)  (1.367344015493505895e+08-2.640494006982818544e+08j)
 (1.240035771872206032e+08+0.000000000000000000e+00j)  (1.319458890644464940e+08-2.663848792607485056e+08j)
 (1.260036348837886751e+08+0.000000000000000000e+00j)  (1.271170471595110446e+08-2.686324006040428877e+08j)
 (1.280036925803567469e+08+0.000000000000000000e+00j)  (1.222495114462009370e+08-2.707912612521685362e+08j)
 (1.300037502769248188e+08+0.000000000000000000e+00j)  (1.173449299209904224e+08-2.728607885061690211e+08j)
 (1.320038079734928906e+08+0.000000000000000000e+00j)  (1.124049623794009387e+08-2.748403406639969945e+08j)
 (1.340038656700609624e+08+0.000000000000000000e+00j)  (1.074312798262991309e+08-2.767293072291113734e+08j)
 (1.360039233666290343e+08+0.000000000000000000e+00j)  (1.024255638824806958e+08-2.785271091077315211e+08j)
 (1.380039810631971061e+08+0.000000000000000000e+00j)  (9.738950618776200712e+07-2.802331987946829796e+08j)
 (1.400040387597651780e+08+0.000000000000000000e+00j)  (9.232480780080068111e+07-2.818470605477685928e+08j)
 (1.420040964563332796e+08+0.000000000000000000e+00j)  (8.723317859586711228e+07-2.833682105506140590e+08j)
 (1.440041541529013515e+08+0.000000000000000000e+00j)  (8.211633665679240227e+07-2.847961970639271736e+08j)
 (1.460042118494694233e+08+0.000000000000000000e+00j)  (7.697600766831623018e+07-2.861306005651278496e+08j)
 (1.480042695460374951e+08+0.000000000000000000e+00j)  (7.181392430506081879e+07-2.873710338762989640e+08j)
 (1.500043272426055670e+08+0.000000000000000000e+00j)  (6.663182561835715175e+07-2.885171422804231048e+08j)
 (1.520043849391736388e+08+0.000000000000000000e+00j)  (6.143145642115088552e+07-2.895686036258641481e+08j)
 (1.540044426357417107e+08+0.000000000000000000e+00j)  (5.621456667121506482e+07-2.905251284190676212e+08j)
 (1.560045003323097825e+08+0.000000000000000000e+00j)  (5.098291085289855301e+07-2.913864599054480195e+08j)
 (1.580045580288778543e+08+0.000000000000000000e+00j)  (4.573824735763775557e+07-2.921523741384440660e+08j)
 (1.600046157254459262e+08+0.000000000000000000e+00j)  (4.048233786346158385e+07-2.928226800367230773e+08j)
 (1.620046734220139980e+08+0.000000000000000000e+00j)  (3.521694671371804178e+07-2.933972194295205474e+08j)
 (1.640047311185820699e+08+0.000000000000000000e+00j)  (2.994384029525204375e+07-2.938758670901049376e+08j)
 (1.660047888151501417e+08+0.000000000000000000e+00j)  (2.466478641626348719e+07-2.942585307573674321e+08j)
 (1.680048465117182434e+08+0.000000000000000000e+00j)  (1.938155368407560885e+07-2.945451511455301046e+08j)
 (1.700049042082863152e+08+0.000000000000000000e+00j)  (1.409591088304174878e+07-2.947357019419823885e+08j)
 (1.720049619048543870e+08+0.000000000000000000e+00j)  (8.809626352820470929e+06-2.948301897932533026e+08j)
 (1.740050196014224589e+08+0.000000000000000000e+00j)  (3.524467367247091606e+06-2.948286542791298628e+08j)
 (1.760050772979905307e+08+0.000000000000000000e+00j)  (-1.757800485969717614e+06-2.947311678749448657e+08j)
 (1.780051349945586026e+08+0.000000000000000000e+00j)  (-7.035413924498637207e+06-2.945378359020513296e+08j)
 (1.800051926911266744e+08+0.000000000000000000e+00j)  (-1.230661258935631439e+07-2.942487964665125012e+08j)
 (1.820052503876947463e+08+0.000000000000000000e+00j)  (-1.756963966137130558e+07-2.938642203860391378e+08j)
 (1.840053080842628181e+08+0.000000000000000000e+00j)  (-2.282274247591541708e+07-2.933843111052081585e+08j)
 (1.860053657808308899e+08+0.000000000000000000e+00j)  (-2.806417313567740843e+07-2.928093045990034938e+08j)
 (1.880054234773989618e+08+0.000000000000000000e+00j)  (-3.329218912125486135e+07-2.921394692647227645e+08j)
 (1.900054811739670336e+08+0.000000000000000000e+00j)  (-3.850505389934080839e+07-2.913751058022981286e+08j)
 (1.920055388705351353e+08+0.000000000000000000e+00j)  (-4.370103752828351408e+07-2.905165470830873251e+08j)
 (1.940055965671032071e+08+0.000000000000000000e+00j)  (-4.887841726079794019e+07-2.895641580071856380e+08j)
 (1.960056542636712790e+08+0.000000000000000000e+00j)  (-5.403547814360917360e+07-2.885183353493279815e+08j)
 (1.980057119602393508e+08+0.000000000000000000e+00j)  (-5.917051361381012946e+07-2.873795075934410095e+08j)
 (2.000057696568074226e+08+0.000000000000000000e+00j)  (-6.428182609171541035e+07-2.861481347559180856e+08j)
 (2.020058273533754945e+08+0.000000000000000000e+00j)  (-6.936772756999696791e+07-2.848247081976909637e+08j)
 (2.040058850499435663e+08+0.000000000000000000e+00j)  (-7.442654019888679683e+07-2.834097504251750112e+08j)
 (2.060059427465116382e+08+0.000000000000000000e+00j)  (-7.945659686723488569e+07-2.819038148801729679e+08j)
 (2.080060004430797100e+08+0.000000000000000000e+00j)  (-8.445624177921150625e+07-2.803074857188214660e+08j)
 (2.100060581396477818e+08+0.000000000000000000e+00j)  (-8.942383102644568682e+07-2.786213775796720386e+08j)
 (2.120061158362158537e+08+0.000000000000000000e+00j)  (-9.435773315539267659e+07-2.768461353410016894e+08j)
 (2.140061735327839255e+08+0.000000000000000000e+00j)  (-9.925632972972500324e+07-2.749824338674494028e+08j)
 (2.160062312293519974e+08+0.000000000000000000e+00j)  (-1.041180158875457793e+08-2.730309777460843325e+08j)
 (2.180062889259200990e+08+0.000000000000000000e+00j)  (-1.089412008932219148e+08-2.709925010120100975e+08j)
 (2.200063466224881709e+08+0.000000000000000000e+00j)  (-1.137243086836400181e+08-2.688677668636150360e+08j)
 (2.220064043190562427e+08+0.000000000000000000e+00j)  (-1.184657784086881429e+08-2.666575673675837517e+08j)
 (2.240064620156243145e+08+0.000000000000000000e+00j)  (-1.231640649657695591e+08-2.643627231537874341e+08j)
 (2.260065197121923864e+08+0.000000000000000000e+00j)  (-1.278176395281575173e+08-2.619840831001738012e+08j)
 (2.280065774087604582e+08+0.000000000000000000e+00j)  (-1.324249900670011044e+08-2.595225240077835619e+08j)
 (2.300066351053285301e+08+0.000000000000000000e+00j)  (-1.369846218667975366e+08-2.569789502660191357e+08j)
 (2.320066928018966019e+08+0.000000000000000000e+00j)  (-1.414950580341450572e+08-2.543542935083018839e+08j)
 (2.340067504984646738e+08+0.000000000000000000e+00j)  (-1.459548399995965958e+08-2.516495122582495511e+08j)
 (2.360068081950327456e+08+0.000000000000000000e+00j)  (-1.503625280124363601e+08-2.488655915665176213e+08j)
 (2.380068658916008174e+08+0.000000000000000000e+00j)  (-1.547167016282025576e+08-2.460035426384420693e+08j)
 (2.400069235881688893e+08+0.000000000000000000e+00j)  (-1.590159601887842715e+08-2.430644024526361823e+08j)
 (2.420069812847369611e+08+0.000000000000000000e+00j)  (-1.632589232949235737e+08-2.400492333706826568e+08j)
 (2.440070389813050628e+08+0.000000000000000000e+00j)  (-1.674442312709554732e+08-2.369591227380807102e+08j)
 (2.460070966778731346e+08+0.000000000000000000e+00j)  (-1.715705456216221750e+08-2.337951824765994847e+08j)
 (2.480071543744412065e+08+0.000000000000000000e+00j)  (-1.756365494808023870e+08-2.305585486681980789e+08j)
 (2.500072120710092783e+08+0.000000000000000000e+00j)  (-1.796409480519962907e+08-2.272503811306738555e+08j)
 (2.520072697675773501e+08+0.000000000000000000e+00j)  (-1.835824690404157937e+08-2.238718629852024019e+08j)
 (2.540073274641454220e+08+0.000000000000000000e+00j)  (-1.874598630765256286e+08-2.204242002159390152e+08j)
 (2.560073851607134938e+08+0.000000000000000000e+00j)  (-1.912719041308908165e+08-2.169086212218500972e+08j)
 (2.580074428572815657e+08+0.000000000000000000e+00j)  (-1.950173899201860428e+08-2.133263763609478474e+08j)
 (2.600075005538496375e+08+0.000000000000000000e+00j)  (-1.986951423042258620e+08-2.096787374871052802e+08j)
 (2.620075582504177094e+08+0.000000000000000000e+00j)  (-2.023040076738799810e+08-2.059669974796293676e+08j)
 (2.640076159469857812e+08+0.000000000000000000e+00j)  (-2.058428573297401965e+08-2.021924697657721043e+08j)
 (2.660076736435538530e+08+0.000000000000000000e+00j)  (-2.093105878514087200e+08-1.983564878363644481e+08j)
 (2.680077313401219249e+08+0.000000000000000000e+00j)  (-2.127061214572834074e+08-1.944604047547583878e+08j)
 (2.700077890366899967e+08+0.000000000000000000e+00j)  (-2.160284063547155261e+08-1.905055926592657566e+08j)
 (2.720078467332580686e+08+0.000000000000000000e+00j)  (-2.192764170804249346e+08-1.864934422592829168e+08j)
 (2.740079044298261404e+08+0.000000000000000000e+00j)  (-2.224491548310538828e+08-1.824253623252951503e+08j)
 (2.760079621263942122e+08+0.000000000000000000e+00j)  (-2.255456477837527394e+08-1.783027791729550362e+08j)
 (2.780080198229622841e+08+0.000000000000000000e+00j)  (-2.285649514066873789e+08-1.741271361414307654e+08j)
 (2.800080775195303559e+08+0.000000000000000000e+00j)  (-2.315061487593687773e+08-1.698998930662252605e+08j)
 (2.820081352160984874e+08+0.000000000000000000e+00j)  (-2.343683507826998532e+08-1.656225257466623783e+08j)
 (2.840081929126665592e+08+0.000000000000000000e+00j)  (-2.371506965786542892e+08-1.612965254082472920e+08j)
 (2.860082506092346311e+08+0.000000000000000000e+00j)  (-2.398523536794835031e+08-1.569233981601018012e+08j)
 (2.880083083058027029e+08+0.000000000000000000e+00j)  (-2.424725183063776791e+08-1.525046644476808310e+08j)
 (2.900083660023707747e+08+0.000000000000000000e+00j)  (-2.450104156174878478e+08-1.480418585009779036e+08j)
 (2.920084236989388466e+08+0.000000000000000000e+00j)  (-2.474652999452362359e+08-1.435365277784273028e+08j)
 (2.940084813955069184e+08+0.000000000000000000e+00j)  (-2.498364550228369534e+08-1.389902324067138731e+08j)
 (2.960085390920749903e+08+0.000000000000000000e+00j)  (-2.521231941999591291e+08-1.344045446167002022e+08j)
 (2.980085967886430621e+08+0.000000000000000000e+00j)  (-2.543248606474639177e+08-1.297810481756855696e+08j)
 (3.000086544852111340e+08+0.000000000000000000e+00j)  (-2.564408275511526465e+08-1.251213378162080348e+08j)
 (3.020087121817792058e+08+0.000000000000000000e+00j)  (-2.584704982944725156e+08-1.204270186616065502e+08j)
 (3.040087698783472776e+08+0.000000000000000000e+00j)  (-2.604133066301195025e+08-1.156997056485567242e+08j)
 (3.060088275749153495e+08+0.000000000000000000e+00j)  (-2.622687168404965401e+08-1.109410229467980564e+08j)
 (3.080088852714834213e+08+0.000000000000000000e+00j)  (-2.640362238869730234e+08-1.061526033762690574e+08j)
 (3.100089429680514932e+08+0.000000000000000000e+00j)  (-2.657153535479139984e+08-1.013360878218689114e+08j)
 (3.120090006646195650e+08+0.000000000000000000e+00j)  (-2.673056625454347730e+08-9.649312464606320858e+07j)
 (3.140090583611876369e+08+0.000000000000000000e+00j)  (-2.688067386608520150e+08-9.162536909955438972e+07j)
 (3.160091160577557087e+08+0.000000000000000000e+00j)  (-2.702182008388047218e+08-8.673448273023508489e+07j)
 (3.180091737543237805e+08+0.000000000000000000e+00j)  (-2.715396992800161839e+08-8.182213279064477980e+07j)
 (3.200092314508918524e+08+0.000000000000000000e+00j)  (-2.727709155226833820e+08-7.688999164415025711e+07j)
 (3.220092891474599242e+08+0.000000000000000000e+00j)  (-2.739115625124747157e+08-7.193973617007027566e+07j)
 (3.240093468440279961e+08+0.000000000000000000e+00j)  (-2.749613846611261368e+08-6.697304716796413064e+07j)
 (3.260094045405960679e+08+0.000000000000000000e+00j)  (-2.759201578936302662e+08-6.199160876130609214e+07j)
 (3.280094622371641397e+08+0.000000000000000000e+00j)  (-2.767876896840146780e+08-5.699710780076484382e+07j)
 (3.300095199337322116e+08+0.000000000000000000e+00j)  (-2.775638190797123909e+08-5.199123326730915159e+07j)
 (3.320095776303002834e+08+0.000000000000000000e+00j)  (-2.782484167145301104e+08-4.697567567535967380e+07j)
