#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (1.138791118299543858e+08+0.000000000000000000e+00j)  (2.257956537225013847e+02+3.255371540193984714e+01j)
 (1.158769909848658592e+08+0.000000000000000000e+00j)  (2.046747697030768904e+02-1.071810064239119384e+02j)
 (1.178748701397773474e+08+0.000000000000000000e+00j)  (6.615761774852057897e+01-1.315001697356310615e+02j)
 (1.198727492946888208e+08+0.000000000000000000e+00j)  (4.921885385283867875e-01-1.073126267804035017e+01j)
 (1.218706284496003091e+08+0.000000000000000000e+00j)  (9.307793104780765248e+01+8.557784657977620668e+01j)
 (1.238685076045117825e+08+0.000000000000000000e+00j)  (2.105935203242795808e+02+2.595264040828749685e+01j)
 (1.258663867594232708e+08+0.000000000000000000e+00j)  (1.892204098103772196e+02-1.041965012804521109e+02j)
 (1.278642659143347442e+08+0.000000000000000000e+00j)  (5.961192343322522191e+01-1.251167823428938704e+02j)
 (1.298621450692462176e+08+0.000000000000000000e+00j)  (-1.577380274697905149e-02-1.120271815736508181e+01j)
 (1.318600242241577059e+08+0.000000000000000000e+00j)  (8.836977497866844544e+01+7.773855692110061000e+01j)
 (1.338579033790691793e+08+0.000000000000000000e+00j)  (1.980906911118982521e+02+1.991926448708364816e+01j)
 (1.358557825339806676e+08+0.000000000000000000e+00j)  (1.761906201834337651e+02-1.023550400000777501e+02j)
 (1.378536616888921559e+08+0.000000000000000000e+00j)  (5.381061017718408834e+01-1.201854661364304349e+02j)
 (1.398515408438036144e+08+0.000000000000000000e+00j)  (-5.792178931701918998e-01-1.173318709980877905e+01j)
 (1.418494199987151027e+08+0.000000000000000000e+00j)  (8.463135650079033212e+01+7.092268568907913107e+01j)
 (1.438472991536265910e+08+0.000000000000000000e+00j)  (1.878312249019219848e+02+1.422211140702162524e+01j)
 (1.458451783085380793e+08+0.000000000000000000e+00j)  (1.651188773893508142e+02-1.016067656183173824e+02j)
 (1.478430574634495378e+08+0.000000000000000000e+00j)  (4.854416932838415732e+01-1.165477438971373516e+02j)
 (1.498409366183610260e+08+0.000000000000000000e+00j)  (-1.219169373030343007e+00-1.234246207135417528e+01j)
 (1.518388157732725143e+08+0.000000000000000000e+00j)  (8.176005893257477908e+01+6.490141145874379447e+01j)
 (1.538366949281840026e+08+0.000000000000000000e+00j)  (1.795194046532699019e+02+8.645478592520221994e+00j)
 (1.558345740830954611e+08+0.000000000000000000e+00j)  (1.556713868555342799e+02-1.019888331247956472e+02j)
 (1.578324532380069494e+08+0.000000000000000000e+00j)  (4.363234255567866171e+01-1.141418392477628885e+02j)
 (1.598303323929184377e+08+0.000000000000000000e+00j)  (-1.965922720495128173e+00-1.306003238212234940e+01j)
 (1.618282115478298962e+08+0.000000000000000000e+00j)  (7.971407430563873220e+01+5.949040630130090790e+01j)
 (1.638260907027413845e+08+0.000000000000000000e+00j)  (1.729907422298004462e+02+2.961757281505268846e+00j)
 (1.658239698576528728e+08+0.000000000000000000e+00j)  (1.476122770798969839e+02-1.036378387302622031e+02j)
 (1.678218490125643611e+08+0.000000000000000000e+00j)  (3.890131194516964541e+01-1.130025922631334510e+02j)
 (1.698197281674758196e+08+0.000000000000000000e+00j)  (-2.863362102538339116e+00-1.392739888904535484e+01j)
 (1.718176073223873079e+08+0.000000000000000000e+00j)  (7.851907198307503677e+01+5.453173222899068406e+01j)
 (1.738154864772987962e+08+0.000000000000000000e+00j)  (1.682143029177549920e+02-3.104978717215238326e+00j)
 (1.758133656322102845e+08+0.000000000000000000e+00j)  (1.407897103115890616e+02-1.068323891250028908e+02j)
 (1.778112447871217430e+08+0.000000000000000000e+00j)  (3.415911796177729798e+01-1.132911982927059000e+02j)
 (1.798091239420332313e+08+0.000000000000000000e+00j)  (-3.980526264999982189e+00-1.501103290897520637e+01j)
 (1.818070030969447196e+08+0.000000000000000000e+00j)  (7.828594714554756706e+01+4.987311430312267646e+01j)
 (1.838048822518562078e+08+0.000000000000000000e+00j)  (1.653202023766063178e+02-9.936921194437564608e+00j)
 (1.858027614067676663e+08+0.000000000000000000e+00j)  (1.351325268318854000e+02-1.120789059011826367e+02j)
 (1.878006405616791546e+08+0.000000000000000000e+00j)  (2.915664213993394682e+01-1.153593647769063892e+02j)
 (1.897985197165906429e+08+0.000000000000000000e+00j)  (-5.430526876579787832e+00-1.641992623779105998e+01j)
 (1.917963988715021014e+08+0.000000000000000000e+00j)  (7.926453590192267029e+01+4.534319581638843033e+01j)
 (1.937942780264135897e+08+0.000000000000000000e+00j)  (1.646884982794342704e+02-1.813612561175510862e+01j)
 (1.957921571813250780e+08+0.000000000000000000e+00j)  (1.306703895681353345e+02-1.203054548347484314e+02j)
 (1.977900363362365663e+08+0.000000000000000000e+00j)  (2.351125343737177076e+01-1.199048001299085797e+02j)
 (1.997879154911480248e+08+0.000000000000000000e+00j)  (-7.416985135867260936e+00-1.834737743996621262e+01j)
 (2.017857946460595131e+08+0.000000000000000000e+00j)  (8.196560524803389569e+01+4.070796403388546736e+01j)
 (2.037836738009710014e+08+0.000000000000000000e+00j)  (1.671685587437633558e+02-2.877337758141966617e+01j)
 (2.057815529558824897e+08+0.000000000000000000e+00j)  (1.276004508797125396e+02-1.333166640742072673e+02j)
 (2.077794321107939482e+08+0.000000000000000000e+00j)  (1.653446745423068265e+01-1.283516389558661501e+02j)
 (2.097773112657054365e+08+0.000000000000000000e+00j)  (-1.034304406298846324e+01-2.117589613335713494e+01j)
 (2.117751904206169248e+08+0.000000000000000000e+00j)  (8.748197232028087456e+01+3.556179558082582304e+01j)
 (2.137730695755284131e+08+0.000000000000000000e+00j)  (1.746708256766638669e+02-4.404789764400927510e+01j)
 (2.157709487304398715e+08+0.000000000000000000e+00j)  (1.264756978915030174e+02-1.550469722706357629e+02j)
 (2.177688278853513598e+08+0.000000000000000000e+00j)  (6.737216255745448912e+00-1.439367649873335040e+02j)
 (2.197667070402628481e+08+0.000000000000000000e+00j)  (-1.514200902135371685e+01-2.578198135458094242e+01j)
 (2.217645861951743364e+08+0.000000000000000000e+00j)  (9.848198451290407718e+01+2.900142559523552066e+01j)
 (2.237624653500857949e+08+0.000000000000000000e+00j)  (1.920943927453205333e+02-6.942717126793949944e+01j)
 (2.257603445049972832e+08+0.000000000000000000e+00j)  (1.288468242687139309e+02-1.958622642169312371e+02j)
 (2.277582236599087715e+08+0.000000000000000000e+00j)  (-9.985097580147950680e+00-1.756626573382151264e+02j)
 (2.297561028148202300e+08+0.000000000000000000e+00j)  (-2.456663640074530974e+01-3.471673640979602027e+01j)
 (2.317539819697317183e+08+0.000000000000000000e+00j)  (1.233958215140977899e+02+1.822058696480802453e+01j)
 (2.337518611246432066e+08+0.000000000000000000e+00j)  (2.361124024459998907e+02-1.235712103920831169e+02j)
 (2.357497402795546949e+08+0.000000000000000000e+00j)  (1.402963455311034693e+02-2.944901804241923173e+02j)
 (2.377476194344661534e+08+0.000000000000000000e+00j)  (-5.105635832518699857e+01-2.608252896922436435e+02j)
