#    f [Hz]                    Z [Ohm]
# ------------------------------------------------
 (1.138791118299543858e+08+0.000000000000000000e+00j)  (9.930534547552083424e+00+2.363256180290558461e+01j)
 (1.158769909848658592e+08+0.000000000000000000e+00j)  (2.481876867856874114e+01+3.451948594707882023e+01j)
 (1.178748701397773474e+08+0.000000000000000000e+00j)  (3.959236228343445418e+01+2.374075319852659405e+01j)
 (1.198727492946888208e+08+0.000000000000000000e+00j)  (3.322973151446110052e+01+6.386279363362174166e+00j)
 (1.218706284496003091e+08+0.000000000000000000e+00j)  (1.391879763075502474e+01+7.584969133273523845e+00j)
 (1.238685076045117825e+08+0.000000000000000000e+00j)  (8.656010399454224569e+00+2.714260047731470848e+01j)
 (1.258663867594232708e+08+0.000000000000000000e+00j)  (2.561250528044719132e+01+3.871536036517743185e+01j)
 (1.278642659143347442e+08+0.000000000000000000e+00j)  (4.166850717726308773e+01+2.618238214865390390e+01j)
 (1.298621450692462176e+08+0.000000000000000000e+00j)  (3.395301780173520001e+01+7.059269445676015664e+00j)
 (1.318600242241577059e+08+0.000000000000000000e+00j)  (1.242620371859721473e+01+9.059534574889557490e+00j)
 (1.338579033790691793e+08+0.000000000000000000e+00j)  (7.177984520773127208e+00+3.109003106599172739e+01j)
 (1.358557825339806676e+08+0.000000000000000000e+00j)  (2.649658179492890042e+01+4.349545853688212560e+01j)
 (1.378536616888921559e+08+0.000000000000000000e+00j)  (4.406225489476137369e+01+2.897438609342301064e+01j)
 (1.398515408438036144e+08+0.000000000000000000e+00j)  (3.481789479872878701e+01+7.792777450123253402e+00j)
 (1.418494199987151027e+08+0.000000000000000000e+00j)  (1.071119682418346386e+01+1.069110193251461460e+01j)
 (1.438472991536265910e+08+0.000000000000000000e+00j)  (5.438272529124609456e+00+3.560577268441837617e+01j)
 (1.458451783085380793e+08+0.000000000000000000e+00j)  (2.749968665490257180e+01+4.903320036027616879e+01j)
 (1.478430574634495378e+08+0.000000000000000000e+00j)  (4.686855625740654574e+01+3.222093861865953102e+01j)
 (1.498409366183610260e+08+0.000000000000000000e+00j)  (3.586459123462003618e+01+8.605951619982688428e+00j)
 (1.518388157732725143e+08+0.000000000000000000e+00j)  (8.702348589997797035e+00+1.253219624205727456e+01j)
 (1.538366949281840026e+08+0.000000000000000000e+00j)  (3.354854237359809588e+00+4.087381391242055173e+01j)
 (1.558345740830954611e+08+0.000000000000000000e+00j)  (2.866238325649642960e+01+5.557427311065115560e+01j)
 (1.578324532380069494e+08+0.000000000000000000e+00j)  (5.022303452166018900e+01+3.607066835747678368e+01j)
 (1.598303323929184377e+08+0.000000000000000000e+00j)  (3.715122048390270493e+01+9.526109766065850692e+00j)
 (1.618282115478298962e+08+0.000000000000000000e+00j)  (6.296522240150685512e+00+1.465842316056258809e+01j)
 (1.638260907027413845e+08+0.000000000000000000e+00j)  (8.081936469910477872e-01+4.716198524679825255e+01j)
 (1.658239698576528728e+08+0.000000000000000000e+00j)  (3.004426217373303132e+01+6.347937156730316843e+01j)
 (1.678218490125643611e+08+0.000000000000000000e+00j)  (5.432665871649174960e+01+4.074350712700389465e+01j)
 (1.698197281674758196e+08+0.000000000000000000e+00j)  (3.876481605856073287e+01+1.059379969287333445e+01j)
 (1.718176073223873079e+08+0.000000000000000000e+00j)  (3.338670412710868174e+00+1.718328183223687233e+01j)
 (1.738154864772987962e+08+0.000000000000000000e+00j)  (-2.383117940249357858e+00+5.487684087128048560e+01j)
 (1.758133656322102845e+08+0.000000000000000000e+00j)  (3.173691725948016540e+01+7.330128685992946203e+01j)
 (1.778112447871217430e+08+0.000000000000000000e+00j)  (5.949086686474318242e+01+4.657967626938496863e+01j)
 (1.798091239420332313e+08+0.000000000000000000e+00j)  (4.084179856381497586e+01+1.187213614459597011e+01j)
 (1.818070030969447196e+08+0.000000000000000000e+00j)  (-4.159218556875129424e-01+2.028593591398260543e+01j)
 (1.838048822518562078e+08+0.000000000000000000e+00j)  (-6.508459400431477526e+00+6.466792354850136348e+01j)
 (1.858027614067676663e+08+0.000000000000000000e+00j)  (3.388916542767837115e+01+8.593340320252174536e+01j)
 (1.878006405616791546e+08+0.000000000000000000e+00j)  (6.622599210310805518e+01+5.413539311048602087e+01j)
 (1.897985197165906429e+08+0.000000000000000000e+00j)  (4.360867798961382391e+01+1.346530757501853159e+01j)
 (1.917963988715021014e+08+0.000000000000000000e+00j)  (-5.377904321525265097e+00+2.426753305114332449e+01j)
 (1.937942780264135897e+08+0.000000000000000000e+00j)  (-1.205965528132468911e+01+7.764258317288333444e+01j)
 (1.957921571813250780e+08+0.000000000000000000e+00j)  (3.676057686220337217e+01+1.029210214239167556e+02j)
 (1.977900363362365663e+08+0.000000000000000000e+00j)  (7.543084968807674784e+01+6.438716458084029171e+01j)
 (1.997879154911480248e+08+0.000000000000000000e+00j)  (4.747105576251979642e+01+1.555876152296098702e+01j)
 (2.017857946460595131e+08+0.000000000000000000e+00j)  (-1.229381850931762266e+01+2.967728018441783533e+01j)
 (2.037836738009710014e+08+0.000000000000000000e+00j)  (-1.994567501524025843e+01+9.585736856015338958e+01j)
 (2.057815529558824897e+08+0.000000000000000000e+00j)  (4.084876694671529407e+01+1.271903511015775194e+02j)
 (2.077794321107939482e+08+0.000000000000000000e+00j)  (8.885016530578809579e+01+7.922196589210385298e+01j)
 (2.097773112657054365e+08+0.000000000000000000e+00j)  (5.323416860899994418e+01+1.851800718462088469e+01j)
 (2.117751904206169248e+08+0.000000000000000000e+00j)  (-2.267861311444263706e+01+3.763547243780980267e+01j)
 (2.137730695755284131e+08+0.000000000000000000e+00j)  (-3.205397273931416890e+01+1.236150826544093775e+02j)
