#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (1.118812326750428975e+08+0.000000000000000000e+00j)  (1.443805660796496859e+00-2.350988605228584305e+01j)
 (1.138791118299543858e+08+0.000000000000000000e+00j)  (-1.633326860748649523e+01-3.106654947780337039e+01j)
 (1.158769909848658592e+08+0.000000000000000000e+00j)  (-2.887611248797380981e+01-1.664963462960954388e+01j)
 (1.178748701397773474e+08+0.000000000000000000e+00j)  (-1.914967115782352280e+01-1.387461348003017902e-01j)
 (1.198727492946888208e+08+0.000000000000000000e+00j)  (-3.526027385213098553e-01-3.857340171737338341e+00j)
 (1.218706284496003091e+08+0.000000000000000000e+00j)  (2.354775747889977566e+00-2.255822887930193232e+01j)
 (1.238685076045117825e+08+0.000000000000000000e+00j)  (-1.414872114929051605e+01-3.094874511049341592e+01j)
 (1.258663867594232708e+08+0.000000000000000000e+00j)  (-2.711202794612736255e+01-1.800469144027976043e+01j)
 (1.278642659143347442e+08+0.000000000000000000e+00j)  (-1.889438221816591934e+01-1.568943042163428059e+00j)
 (1.298621450692462176e+08+0.000000000000000000e+00j)  (-6.135401398595260458e-01-3.936883745368447762e+00j)
 (1.318600242241577059e+08+0.000000000000000000e+00j)  (3.203577585103777992e+00-2.180160985066329715e+01j)
 (1.338579033790691793e+08+0.000000000000000000e+00j)  (-1.219896643046488016e+01-3.103045085686668259e+01j)
 (1.358557825339806676e+08+0.000000000000000000e+00j)  (-2.563626554766604215e+01-1.940219316023797091e+01j)
 (1.378536616888921559e+08+0.000000000000000000e+00j)  (-1.879808169459723999e+01-2.937557312393187736e+00j)
 (1.398515408438036144e+08+0.000000000000000000e+00j)  (-8.900765047893510751e-01-4.031730484112059365e+00j)
 (1.418494199987151027e+08+0.000000000000000000e+00j)  (4.023970312632920709e+00-2.121174166512128423e+01j)
 (1.438472991536265910e+08+0.000000000000000000e+00j)  (-1.041079185082334035e+01-3.131751279637962071e+01j)
 (1.458451783085380793e+08+0.000000000000000000e+00j)  (-2.439678473986840856e+01-2.089712684072918591e+01j)
