#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (1.120032310078121573e+08+0.000000000000000000e+00j)  (1.385943723529297955e+01+1.688781918657122105e+01j)
 (1.140032887043802291e+08+0.000000000000000000e+00j)  (1.455218110903897299e+00+1.677383571455416167e+00j)
 (1.160033464009483010e+08+0.000000000000000000e+00j)  (-1.706170544647002174e+01+8.935969591676210300e+00j)
 (1.180034040975163728e+08+0.000000000000000000e+00j)  (-1.609207692994291961e+01+2.922522754509681420e+01j)
 (1.200034617940844446e+08+0.000000000000000000e+00j)  (3.553149618064252113e+00+3.507595512188528630e+01j)
 (1.220035194906525314e+08+0.000000000000000000e+00j)  (1.537035186940622999e+01+1.846337912713998719e+01j)
 (1.240035771872206032e+08+0.000000000000000000e+00j)  (3.199300146503572417e+00+2.150648402906038648e+00j)
 (1.260036348837886751e+08+0.000000000000000000e+00j)  (-1.636805695658349435e+01+8.883015876375749187e+00j)
 (1.280036925803567469e+08+0.000000000000000000e+00j)  (-1.625666910981393087e+01+3.007160371934990550e+01j)
 (1.300037502769248188e+08+0.000000000000000000e+00j)  (3.983295787924218345e+00+3.705037876161340193e+01j)
 (1.320038079734928906e+08+0.000000000000000000e+00j)  (1.704409147441161210e+01+2.020848063243842674e+01j)
 (1.340038656700609624e+08+0.000000000000000000e+00j)  (4.971666908914777139e+00+2.631603943705288273e+00j)
 (1.360039233666290343e+08+0.000000000000000000e+00j)  (-1.585603597288390354e+01+8.923934717488782198e+00j)
 (1.380039810631971061e+08+0.000000000000000000e+00j)  (-1.659804647302927094e+01+3.126050869138802568e+01j)
 (1.400040387597651780e+08+0.000000000000000000e+00j)  (4.476338517910982695e+00+3.946362239518710169e+01j)
 (1.420040964563332796e+08+0.000000000000000000e+00j)  (1.895280744190292310e+01+2.220443759604295764e+01j)
 (1.440041541529013515e+08+0.000000000000000000e+00j)  (6.846069197120822736e+00+3.142839960179937275e+00j)
 (1.460042118494694233e+08+0.000000000000000000e+00j)  (-1.551484427604390426e+01+9.065787813921950544e+00j)
 (1.480042695460374951e+08+0.000000000000000000e+00j)  (-1.714378308325741784e+01+3.286240954029702266e+01j)
 (1.500043272426055670e+08+0.000000000000000000e+00j)  (5.054057056346715093e+00+4.244882579573000925e+01j)
 (1.520043849391736388e+08+0.000000000000000000e+00j)  (2.119357491195822973e+01+2.455769753924173315e+01j)
 (1.540044426357417107e+08+0.000000000000000000e+00j)  (8.911214223790107525e+00+3.710294862282789818e+00j)
 (1.560045003323097825e+08+0.000000000000000000e+00j)  (-1.534593567131536673e+01+9.323356784663177521e+00j)
 (1.580045580288778543e+08+0.000000000000000000e+00j)  (-1.794074002030617265e+01+3.498743047711014498e+01j)
 (1.600046157254459262e+08+0.000000000000000000e+00j)  (5.747308067858536873e+00+4.620019298176897848e+01j)
 (1.620046734220139980e+08+0.000000000000000000e+00j)  (2.390226189413724001e+01+2.741708405956823569e+01j)
 (1.640047311185820699e+08+0.000000000000000000e+00j)  (1.128258240905818077e+01+4.368486397019538892e+00j)
 (1.660047888151501417e+08+0.000000000000000000e+00j)  (-1.536693497654161078e+01+9.725266717410043782e+00j)
 (1.680048465117182434e+08+0.000000000000000000e+00j)  (-1.906492843268964421e+01+3.781185663830210331e+01j)
 (1.700049042082863152e+08+0.000000000000000000e+00j)  (6.604953900362234620e+00+5.101602053306440610e+01j)
 (1.720049619048543870e+08+0.000000000000000000e+00j)  (2.728569110823652721e+01+3.100512060205066334e+01j)
 (1.740050196014224589e+08+0.000000000000000000e+00j)  (1.412843729132934101e+01+5.165250145025850337e+00j)
 (1.760050772979905307e+08+0.000000000000000000e+00j)  (-1.561916601867041088e+01+1.031877539334703009e+01j)
 (1.780051349945586026e+08+0.000000000000000000e+00j)  (-2.064463885981770375e+01+4.162279372103212438e+01j)
 (1.800051926911266744e+08+0.000000000000000000e+00j)  (7.703681733215182348e+00+5.737935356845987656e+01j)
 (1.820052503876947463e+08+0.000000000000000000e+00j)  (3.167703415703372372e+01+3.568230200682999254e+01j)
 (1.840053080842628181e+08+0.000000000000000000e+00j)  (1.771822285156369503e+01+6.178754209682559839e+00j)
 (1.860053657808308899e+08+0.000000000000000000e+00j)  (-1.617881758843495632e+01+1.118712124969693278e+01j)
 (1.880054234773989618e+08+0.000000000000000000e+00j)  (-2.289831542725069369e+01+4.691148709481380763e+01j)
 (1.900054811739670336e+08+0.000000000000000000e+00j)  (9.177256681810295191e+00+6.611927266260202884e+01j)
 (1.920055388705351353e+08+0.000000000000000000e+00j)  (3.765491274665120613e+01+4.207113465362946414e+01j)
 (1.940055965671032071e+08+0.000000000000000000e+00j)  (2.251942957971740711e+01+7.543532301628531833e+00j)
 (1.960056542636712790e+08+0.000000000000000000e+00j)  (-1.719503975004239749e+01+1.248516499853224282e+01j)
