#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (1.120032310078121573e+08+0.000000000000000000e+00j)  (-1.305440264848605025e+01-1.765998017068466552e+01j)
 (1.140032887043802291e+08+0.000000000000000000e+00j)  (-2.727938007401933262e+01-9.903869761402331662e+00j)
 (1.160033464009483010e+08+0.000000000000000000e+00j)  (-2.410826861131445042e+01+5.966553102204003700e+00j)
 (1.180034040975163728e+08+0.000000000000000000e+00j)  (-8.120489849471887567e+00+7.986181413751246794e+00j)
 (1.200034617940844446e+08+0.000000000000000000e+00j)  (-1.252619814732628845e+00-6.164593385544502979e+00j)
 (1.220035194906525314e+08+0.000000000000000000e+00j)  (-1.227453671820808268e+01-1.664320301299536808e+01j)
 (1.240035771872206032e+08+0.000000000000000000e+00j)  (-2.523849906707192048e+01-9.266319907986499516e+00j)
 (1.260036348837886751e+08+0.000000000000000000e+00j)  (-2.205778909164843782e+01+5.290590641422936002e+00j)
 (1.280036925803567469e+08+0.000000000000000000e+00j)  (-7.296991979477946977e+00+6.864455362888516099e+00j)
 (1.300037502769248188e+08+0.000000000000000000e+00j)  (-1.233124004765359105e+00-6.330406781821556805e+00j)
 (1.320038079734928906e+08+0.000000000000000000e+00j)  (-1.164047616938428931e+01-1.581396146671074021e+01j)
 (1.340038656700609624e+08+0.000000000000000000e+00j)  (-2.352043667684088391e+01-8.733379481793349441e+00j)
 (1.360039233666290343e+08+0.000000000000000000e+00j)  (-2.029946150889188061e+01+4.702509192960706130e+00j)
 (1.380039810631971061e+08+0.000000000000000000e+00j)  (-6.575413423476173413e+00+5.865068215714002164e+00j)
 (1.400040387597651780e+08+0.000000000000000000e+00j)  (-1.223620777531411186e+00-6.531160670563621373e+00j)
 (1.420040964563332796e+08+0.000000000000000000e+00j)  (-1.112824329272256207e+01-1.514300701785282754e+01j)
 (1.440041541529013515e+08+0.000000000000000000e+00j)  (-2.206400400268270801e+01-8.286399712041690790e+00j)
 (1.460042118494694233e+08+0.000000000000000000e+00j)  (-1.877164918182383602e+01+4.182315888005172511e+00j)
 (1.480042695460374951e+08+0.000000000000000000e+00j)  (-5.929564932520767329e+00+4.953723042938013243e+00j)
 (1.500043272426055670e+08+0.000000000000000000e+00j)  (-1.222546877226541318e+00-6.775949769443962545e+00j)
 (1.520043849391736388e+08+0.000000000000000000e+00j)  (-1.072222446590600775e+01-1.461151462466448514e+01j)
 (1.540044426357417107e+08+0.000000000000000000e+00j)  (-2.082477736826596626e+01-7.912140220597090767e+00j)
 (1.560045003323097825e+08+0.000000000000000000e+00j)  (-1.742603103449172863e+01+3.713813425121254674e+00j)
 (1.580045580288778543e+08+0.000000000000000000e+00j)  (-5.336430943619985712e+00+4.099065247873522999e+00j)
 (1.600046157254459262e+08+0.000000000000000000e+00j)  (-1.229244305200994924e+00-7.080739038472023239e+00j)
 (1.620046734220139980e+08+0.000000000000000000e+00j)  (-1.041620760320940953e+01-1.421231253369412961e+01j)
 (1.640047311185820699e+08+0.000000000000000000e+00j)  (-1.977459697356611557e+01-7.602093271802126573e+00j)
 (1.660047888151501417e+08+0.000000000000000000e+00j)  (-1.622587689758925578e+01+3.284962597074736035e+00j)
 (1.680048465117182434e+08+0.000000000000000000e+00j)  (-4.774570206707643649e+00+3.272631713086049388e+00j)
 (1.700049042082863152e+08+0.000000000000000000e+00j)  (-1.242335120629354916e+00-7.467772420365600183e+00j)
 (1.720049619048543870e+08+0.000000000000000000e+00j)  (-1.021020971356675311e+01-1.394880951478047137e+01j)
 (1.740050196014224589e+08+0.000000000000000000e+00j)  (-1.889613190887299154e+01-7.352992874288996283e+00j)
 (1.760050772979905307e+08+0.000000000000000000e+00j)  (-1.514007620507339169e+01+2.883554926670808705e+00j)
 (1.780051349945586026e+08+0.000000000000000000e+00j)  (-4.221046459544480101e+00+2.440843642088646792e+00j)
 (1.800051926911266744e+08+0.000000000000000000e+00j)  (-1.261733238362807041e+00-7.973839303857846339e+00j)
 (1.820052503876947463e+08+0.000000000000000000e+00j)  (-1.011562080565062516e+01-1.383924762022053123e+01j)
 (1.840053080842628181e+08+0.000000000000000000e+00j)  (-1.818581136769573803e+01-7.166460966592526738e+00j)
 (1.860053657808308899e+08+0.000000000000000000e+00j)  (-1.414036061421741053e+01+2.497208005985434909e+00j)
 (1.880054234773989618e+08+0.000000000000000000e+00j)  (-3.646126974042043667e+00+1.558728410628805294e+00j)
 (1.900054811739670336e+08+0.000000000000000000e+00j)  (-1.288104983589348995e+00-8.662203734839101443e+00j)
 (1.920055388705351353e+08+0.000000000000000000e+00j)  (-1.016149332025267071e+01-1.392647941991419280e+01j)
 (1.940055965671032071e+08+0.000000000000000000e+00j)  (-1.765902738341284817e+01-7.051582206472256864e+00j)
 (1.960056542636712790e+08+0.000000000000000000e+00j)  (-1.319650216812505761e+01+2.110867677280645172e+00j)
 (1.980057119602393508e+08+0.000000000000000000e+00j)  (-3.002713719249958668e+00+5.543544880521693585e-01j)
 (2.000057696568074226e+08+0.000000000000000000e+00j)  (-1.322697261509335087e+00-9.652032158235115844e+00j)
 (2.020058273533754945e+08+0.000000000000000000e+00j)  (-1.041158238605521191e+01-1.430375594022066643e+01j)
 (2.040058850499435663e+08+0.000000000000000000e+00j)  (-1.736654717126755187e+01-7.033082403663727611e+00j)
 (2.060059427465116382e+08+0.000000000000000000e+00j)  (-1.226837639599982310e+01+1.700396448470674171e+00j)
 (2.080060004430797100e+08+0.000000000000000000e+00j)  (-2.202146547957423817e+00-7.105046700917638791e-01j)
 (2.100060581396477818e+08+0.000000000000000000e+00j)  (-1.369224971283475423e+00-1.119623376484997301e+01j)
 (2.120061158362158537e+08+0.000000000000000000e+00j)  (-1.101385799741244931e+01-1.518529683501300021e+01j)
 (2.140061735327839255e+08+0.000000000000000000e+00j)  (-1.744337580539878374e+01-7.173274663321514311e+00j)
 (2.160062312293519974e+08+0.000000000000000000e+00j)  (-1.128147710846631568e+01+1.214429551270523433e+00j)
 (2.180062889259200990e+08+0.000000000000000000e+00j)  (-1.036019130620923434e+00-2.566669807762208322e+00j)
 (2.200063466224881709e+08+0.000000000000000000e+00j)  (-1.441131112262524772e+00-1.394642830538552758e+01j)
 (2.220064043190562427e+08+0.000000000000000000e+00j)  (-1.238173618558147027e+01-1.716110342751207085e+01j)
 (2.240064620156243145e+08+0.000000000000000000e+00j)  (-1.830240376351061471e+01-7.655933963844543833e+00j)
 (2.260065197121923864e+08+0.000000000000000000e+00j)  (-1.003543795631951951e+01+5.033561772076716734e-01j)
 (2.280065774087604582e+08+0.000000000000000000e+00j)  (1.162100754208091447e+00-6.092768264644439213e+00j)
 (2.300066351053285301e+08+0.000000000000000000e+00j)  (-1.607701432292494514e+00-2.023770696710049677e+01j)
 (2.320066928018966019e+08+0.000000000000000000e+00j)  (-1.619291764038122849e+01-2.257123128018828950e+01j)
 (2.340067504984646738e+08+0.000000000000000000e+00j)  (-2.184059285299483832e+01-9.291699945252444692e+00j)
 (2.360068081950327456e+08+0.000000000000000000e+00j)  (-7.530596778138894720e+00-1.217864520741380963e+00j)
 (2.380068658916008174e+08+0.000000000000000000e+00j)  (8.475801936421413885e+00-1.821810593665676947e+01j)
 (2.400069235881688893e+08+0.000000000000000000e+00j)  (-3.022983545194738664e+00-4.950362930630694080e+01j)
 (2.420069812847369611e+08+0.000000000000000000e+00j)  (-4.499270355609083794e+01-5.981071939839603857e+01j)
 (2.440070389813050628e+08+0.000000000000000000e+00j)  (-8.439663580503774654e+01-2.838961911866281795e+01j)
 (2.460070966778731346e+08+0.000000000000000000e+00j)  (-8.509345439456367899e+01+2.472497287232556928e+01j)
 (2.480071543744412065e+08+0.000000000000000000e+00j)  (-4.656216414543484916e+01+5.768082087454175166e+01j)
 (2.500072120710092783e+08+0.000000000000000000e+00j)  (-3.617968611724808436e+00+4.987681464025759226e+01j)
 (2.520072697675773501e+08+0.000000000000000000e+00j)  (1.143051918165695291e+01+1.994222014762757667e+01j)
 (2.540073274641454220e+08+0.000000000000000000e+00j)  (-4.065301127947996140e-01+7.129802183249698277e-01j)
 (2.560073851607134938e+08+0.000000000000000000e+00j)  (-1.381280758459934255e+01+3.676250894433897187e+00j)
 (2.580074428572815657e+08+0.000000000000000000e+00j)  (-1.186522868485368853e+01+1.342387800633762218e+01j)
 (2.600075005538496375e+08+0.000000000000000000e+00j)  (-1.733745270723824117e+00+1.262941575412535755e+01j)
 (2.620075582504177094e+08+0.000000000000000000e+00j)  (9.228921142804112909e-01+2.857923749178066686e+00j)
 (2.640076159469857812e+08+0.000000000000000000e+00j)  (-6.161814749589336948e+00-2.313615410431647756e+00j)
 (2.660076736435538530e+08+0.000000000000000000e+00j)  (-1.165122262115865048e+01+2.300967940057120575e+00j)
 (2.680077313401219249e+08+0.000000000000000000e+00j)  (-8.145457442451506935e+00+7.910364330435591285e+00j)
 (2.700077890366899967e+08+0.000000000000000000e+00j)  (-1.658285220965163731e+00+5.692062185528851792e+00j)
 (2.720078467332580686e+08+0.000000000000000000e+00j)  (-1.661191692736418313e+00-1.134369725113063332e+00j)
 (2.740079044298261404e+08+0.000000000000000000e+00j)  (-7.606546283182400892e+00-3.111031792838962140e+00j)
 (2.760079621263942122e+08+0.000000000000000000e+00j)  (-1.064490847869616097e+01+1.693800843327482486e+00j)
 (2.780080198229622841e+08+0.000000000000000000e+00j)  (-6.662290549867594613e+00+5.601676082954877955e+00j)
 (2.800080775195303559e+08+0.000000000000000000e+00j)  (-1.684562901145177038e+00+2.751201069080102979e+00j)
 (2.820081352160984874e+08+0.000000000000000000e+00j)  (-2.782266275423503910e+00-2.826047544275037904e+00j)
 (2.840081929126665592e+08+0.000000000000000000e+00j)  (-8.107727359922318300e+00-3.438165808572899440e+00j)
 (2.860082506092346311e+08+0.000000000000000000e+00j)  (-9.955604727767939366e+00+1.293013787099842382e+00j)
 (2.880083083058027029e+08+0.000000000000000000e+00j)  (-5.837720127489992805e+00+4.250191118521569500e+00j)
 (2.900083660023707747e+08+0.000000000000000000e+00j)  (-1.736068913156211035e+00+1.113516364116258206e+00j)
 (2.920084236989388466e+08+0.000000000000000000e+00j)  (-3.384948567294340016e+00-3.712188282213909396e+00j)
 (2.940084813955069184e+08+0.000000000000000000e+00j)  (-8.261339800518097576e+00-3.593808975146748796e+00j)
 (2.960085390920749903e+08+0.000000000000000000e+00j)  (-9.407972561189485106e+00+9.777262177287400213e-01j)
 (2.980085967886430621e+08+0.000000000000000000e+00j)  (-5.300611659975992929e+00+3.313461391643464538e+00j)
 (3.000086544852111340e+08+0.000000000000000000e+00j)  (-1.799674482395559938e+00+6.040247227160741583e-02j)
 (3.020087121817792058e+08+0.000000000000000000e+00j)  (-3.748857033502804637e+00-4.226961136242600503e+00j)
 (3.040087698783472776e+08+0.000000000000000000e+00j)  (-8.255242233227111370e+00-3.670489732668706484e+00j)
 (3.060088275749153495e+08+0.000000000000000000e+00j)  (-8.941023087601681851e+00+7.061899879788263723e-01j)
 (3.080088852714834213e+08+0.000000000000000000e+00j)  (-4.917421816602127294e+00+2.594393110404800140e+00j)
 (3.100089429680514932e+08+0.000000000000000000e+00j)  (-1.871474722253694267e+00-6.816679301237255073e-01j)
 (3.120090006646195650e+08+0.000000000000000000e+00j)  (-3.985617357883135536e+00-4.542761604613111182e+00j)
 (3.140090583611876369e+08+0.000000000000000000e+00j)  (-8.166554653555774479e+00-3.706548956733298095e+00j)
 (3.160091160577557087e+08+0.000000000000000000e+00j)  (-8.527468577622149937e+00+4.592922969367450037e-01j)
 (3.180091737543237805e+08+0.000000000000000000e+00j)  (-4.628576863790197393e+00+2.003387830552488591e+00j)
 (3.200092314508918524e+08+0.000000000000000000e+00j)  (-1.950555421239841047e+00-1.239559311922552753e+00j)
 (3.220092891474599242e+08+0.000000000000000000e+00j)  (-4.148696613408525025e+00-4.741130039765176107e+00j)
 (3.240093468440279961e+08+0.000000000000000000e+00j)  (-8.032332603739412491e+00-3.720342601999879317e+00j)
 (3.260094045405960679e+08+0.000000000000000000e+00j)  (-8.152768441170222147e+00+2.269870694346920736e-01j)
 (3.280094622371641397e+08+0.000000000000000000e+00j)  (-4.403332536217660298e+00+1.493613883803327491e+00j)
 (3.300095199337322116e+08+0.000000000000000000e+00j)  (-2.036792392333571566e+00-1.680110728437290701e+00j)
 (3.320095776303002834e+08+0.000000000000000000e+00j)  (-4.266687906670979302e+00-4.865344565973376056e+00j)
 (3.340096353268684149e+08+0.000000000000000000e+00j)  (-7.871993924907139117e+00-3.721661046297457087e+00j)
 (3.360096930234364867e+08+0.000000000000000000e+00j)  (-7.807891373808314661e+00+3.142534042065704865e-03j)
 (3.380097507200045586e+08+0.000000000000000000e+00j)  (-4.223984340448505570e+00+1.037620272491138751e+00j)
 (3.400098084165726304e+08+0.000000000000000000e+00j)  (-2.130363450613116161e+00-2.042354671712327541e+00j)
 (3.420098661131407022e+08+0.000000000000000000e+00j)  (-4.356434609078225328e+00-4.940768382001074599e+00j)
 (3.440099238097087741e+08+0.000000000000000000e+00j)  (-7.696815449294342137e+00-3.716414789271048402e+00j)
 (3.460099815062768459e+08+0.000000000000000000e+00j)  (-7.487230167768305300e+00-2.163865413443891439e-01j)
 (3.480100392028449178e+08+0.000000000000000000e+00j)  (-4.080021730466534713e+00+6.182406890473595151e-01j)
 (3.500100968994129896e+08+0.000000000000000000e+00j)  (-2.231820622158574796e+00-2.350296302425641137e+00j)
 (3.520101545959810615e+08+0.000000000000000000e+00j)  (-4.428456406221576991e+00-4.982772908567877579e+00j)
 (3.540102122925491333e+08+0.000000000000000000e+00j)  (-7.513391025421417346e+00-3.708118314372507385e+00j)
 (3.560102699891172051e+08+0.000000000000000000e+00j)  (-7.186705438482075436e+00-4.345855794106947001e-01j)
 (3.580103276856852770e+08+0.000000000000000000e+00j)  (-3.964663625406053438e+00+2.239108706084454725e-01j)
 (3.600103853822533488e+08+0.000000000000000000e+00j)  (-2.341801725063160422e+00-2.619659643326178511e+00j)
 (3.620104430788214207e+08+0.000000000000000000e+00j)  (-4.489649105756041259e+00-5.001172164196384884e+00j)
 (3.640105007753894925e+08+0.000000000000000000e+00j)  (-7.325609714637222325e+00-3.698966142133155000e+00j)
 (3.660105584719575644e+08+0.000000000000000000e+00j)  (-6.903064064964885560e+00-6.537919153026887642e-01j)
 (3.680106161685256362e+08+0.000000000000000000e+00j)  (-3.873182220277091581e+00-1.537129376527558156e-01j)
 (3.700106738650937080e+08+0.000000000000000000e+00j)  (-2.460825247669959026e+00-2.861459436368373410e+00j)
 (3.720107315616617799e+08+0.000000000000000000e+00j)  (-4.544657572303703930e+00-5.002834054947459919e+00j)
 (3.740107892582298517e+08+0.000000000000000000e+00j)  (-7.135890442775296272e+00-3.690846834817365529e+00j)
 (3.760108469547979236e+08+0.000000000000000000e+00j)  (-6.634045354448194765e+00-8.763519763369442828e-01j)
 (3.780109046513659954e+08+0.000000000000000000e+00j)  (-3.802830853711308023e+00-5.210783244005046111e-01j)
